,Texas Predict,New York Predict,California Predict,Florida Predict,Illinois Predict,Arizona Predict,Georgia Predict,Massachusetts Predict,New Jersey Predict,Pennsylvania Predict,North Carolina Predict,Louisiana Predict,Maryland Predict,Virginia Predict,Ohio Predict,South Carolina Predict,Alabama Predict,Tennessee Predict,Wyoming Predict,Oklahoma Predict,Arkansas Predict,Maine Predict,Minnesota Predict,Utah Predict,South Dakota Predict,North Dakota Predict,Iowa Predict,Missouri Predict,Wisconsin Predict,Vermont Predict,Mississippi Predict,Colorado Predict,Idaho Predict,Indiana Predict,Nevada Predict,Washington Predict,New Mexico Predict
10,4917.840356938541,-9101.88164561987,21690.879482775927,13964.287471026182,170.02620734274387,3740.4987670015544,2839.5435656420887,2576.1222932487726,7374.029722996056,-497.35617358237505,-5804.852407891303,-929.9847297370434,-8742.277510464191,-4835.648345761001,4707.208601757884,4788.28779887408,1171.920623164624,-5273.509304970503,-140.15456508786883,792.7084225229919,2841.8943693395704,90.43333011504728,990.0189033942297,4156.208451604471,910.2764597628266,419.38259528251365,-540.2507376857102,5148.636264493689,2360.877289902419,-2.812581215039245,-681.2038773205131,-3597.159608034417,-477.96380385989323,-1330.4063468240201,324.0252590330783,-1517.8783796727657,2110.5818450450897
11,5031.2571111135185,-8717.506192624569,21782.614290714264,13964.287471026182,300.5263861268759,3741.9784639496356,2902.539214119315,2664.226049091667,7565.153297036886,-386.36033423244953,-5804.852407891303,-807.9452672973275,-8683.186315465719,-4776.144167408347,4761.463089380413,4788.28779887408,1198.0048438999802,-5273.509304970503,-139.16300486016553,792.7084225229919,2841.8943693395704,92.55593249690719,990.0189033942297,4156.208451604471,910.2764597628266,419.40148366848007,-524.2241022642702,5159.103631740436,2360.877289902419,-2.9125981200195383,-681.2038773205131,-3548.430773662403,-473.53455738630146,-1261.9465123862028,324.7394761274336,-1429.4877764768898,2115.248076734133
12,5144.654656760395,-8328.131400048733,21874.33373183012,13964.287471026182,431.03680945932865,3743.457840755582,2965.528459753841,2752.327243797481,7756.316568702459,-275.34528635442257,-5804.852407891303,-685.9045242890716,-8624.096401035786,-4716.641909908503,4815.720458282158,4788.28779887408,1224.0879441378638,-5273.509304970503,-138.17144463246223,792.7084225229919,2841.8943693395704,94.67829477216583,990.0189033942297,4156.208451604471,910.2764597628266,419.4203720544465,-508.19570606108755,5169.570678845048,2360.877289902419,-3.0126050205581123,-681.2038773205131,-3499.7016191482544,-469.10555101931095,-1193.4847570955753,325.4535731684882,-1341.099094133824,2119.913828209974
13,5258.029792457819,-7929.587736725807,21966.042928397655,13964.287471026182,561.5587579086423,3744.937217561528,3028.5103421192616,2840.423316229135,7948.313490487635,-164.31359108537436,-5804.852407891303,-563.8625007122755,-8565.007767174393,-4657.14221354574,4869.9803883209825,4788.28779887408,1250.1699238782749,-5273.509304970503,-137.17985439143376,792.7084225229919,2841.8943693395704,96.80043694970664,990.0189033942297,4156.208451604471,910.2764597628266,419.43934047594666,-492.16634943149984,5180.03772594966,2360.877289902419,-3.112596914434107,-681.2038773205131,-3450.9750257711858,-464.6769448299892,-1125.0210809521377,326.1676502006594,-1252.7116923592985,2124.5789394015446
14,5371.385719627142,-7516.650483012199,22057.74444155395,13964.287471026182,692.0909509062767,3746.4165943674743,3091.4839007891715,2928.5161872394383,8145.588915795088,-53.25884558260441,-5804.852407891303,-441.8249591253698,-8505.91977359727,-4597.644438035786,4924.241598928347,4788.28779887408,1276.2504629790783,-5273.509304970503,-136.1882641504053,792.7084225229919,2841.8943693395704,98.92233902064618,990.0189033942297,4156.208451604471,910.2764597628266,419.45826887967996,-476.135392091237,5190.504773054272,2360.877289902419,-3.212581304978812,-681.2038773205131,-3397.287830011919,-460.24861876503564,-1056.55612424016,326.88160717952996,-1164.3249308690429,2129.243570379913
15,5484.720517415553,-7094.626314938068,22149.435710161924,13964.287471026182,822.6333884522319,3747.8953308891505,3154.450736474246,3016.6052165441215,8342.897635884583,57.81254731118679,-5804.852407891303,-319.7835758328438,-8446.834981441498,-4538.149223662913,4978.505050530657,4788.28779887408,1302.3311621509492,-5273.509304970503,-135.1966539004934,792.7084225229919,2841.8943693395704,100.96457572217332,990.0189033942297,4156.208451604471,910.2764597628266,419.47723730118014,-460.10283404029906,5200.971500016749,2360.877289902419,-3.3125556910817977,-681.2038773205131,-3336.533176479861,-455.82065285998397,-988.0898869596422,327.59552414063364,-1075.9400902315974,2133.907561074011
16,5598.033545538783,-6663.648411631584,22241.114173084497,13964.287471026182,953.1873511150479,3749.3743875529617,3217.4108491744846,3104.6916847117245,8540.76852556318,170.6331968307495,-5804.852407891303,-197.74539396166801,-8387.752110138535,-4478.6540092900395,5032.770743127912,4788.28779887408,1328.4101005410776,-5273.509304970503,-134.2050436505815,792.7084225229919,2841.8943693395704,101.68942753807642,990.0189033942297,4156.208451604471,910.2764597628266,419.4962457404472,-444.06931556295604,5211.437906837091,2360.877289902419,-3.412520072743064,-681.2038773205131,-3275.285824202001,-451.3930471148342,-919.6204482577741,328.3093410573201,-987.5571704469621,2138.5710715549067
17,5707.481177523732,-6229.238584637642,22332.78495259583,13964.287471026182,1083.754119463265,3750.853124074638,3280.363598605618,3192.773030605167,8743.344224058092,285.07376555353403,-5804.852407891303,-75.70593152195215,-8328.671159688383,-4419.163917191327,5087.039317004383,4788.28779887408,1354.4883986469358,-5273.509304970503,-133.213383378461,792.7084225229919,2841.8943693395704,102.4141693051206,990.0189033942297,4156.208451604471,910.2764597628266,419.51525417971425,-428.03371616173536,5221.904313657433,2360.877289902419,-3.5124719488521805,-681.2038773205131,-3214.040392776951,-446.96572149405256,-851.150369271636,329.0230979473563,-899.1736103780568,2143.2341018225998
18,5808.882997371256,-5794.449709355831,22424.44548755884,13964.287471026182,1214.3298517912626,3752.331540454179,3343.3083444833755,3280.8518153615296,8947.88303412497,399.5297010987997,-5804.852407891303,46.332250349223614,-8269.590849522501,-4359.672544524074,5141.309171449393,4788.28779887408,1380.5652561131865,-5273.509304970503,-132.22174311522394,792.7084225229919,2841.8943693395704,103.1388210321893,990.0189033942297,4156.208451604471,910.2764597628266,419.5343026367482,-411.9973164051771,5232.370720477775,2360.877289902419,-3.612411319409148,-681.2038773205131,-3152.7984829153866,-442.5387960509397,-782.6783694326878,329.73679481074214,-810.7932517305017,2147.896491806023
19,5899.475538171828,-5359.271541237831,22516.093216836452,13964.287471026182,1347.1427373588085,3753.80995683372,3406.247647944838,3368.9261181280017,9157.550521194935,516.0742439329624,-5804.852407891303,168.37107250466943,-8210.51117964089,-4300.185013562441,5195.580946747214,4788.28779887408,1406.6416333662346,-5273.509304970503,-131.23009284754517,792.7084225229919,2841.8943693395704,103.86338271928253,990.0189033942297,4156.208451604471,910.2764597628266,419.5533510937821,-395.95899579580873,5242.836807155982,2360.877289902419,-3.7123456877452554,-681.2038773205131,-3090.881393291056,-438.22928273584694,-714.2050890251994,330.4503916297108,-722.4128930829465,2152.558241505176
